real,naive,ar,arma,arima,ets,Average,CrossValidation,GA,NaiveBaggingRegression,ArBaggingRegression,ArmaBaggingRegression,ArimaBaggingRegression,EtsBaggingRegression,NaiveGBM,ArGBM,ArmaGBM,ArimaGBM,EtsGBM,esn
778,875,882,882,804,816,852,882,810,927,895,893,844,912,948,924,1044,798,758,842
791,778,796,795,805,731,781,796,768,778,791,778,777,779,707,763,764,660,644,782
828,791,808,808,773,737,783,808,755,791,801,805,804,792,722,908,764,655,749,795
769,828,841,841,825,794,826,841,811,828,833,836,872,830,816,878,854,879,708,811
778,769,789,788,769,771,777,789,770,769,783,778,879,771,728,763,754,730,644,788
726,778,797,797,743,772,777,797,758,778,791,793,900,780,707,763,764,754,644,795
875,726,750,750,721,727,735,750,724,726,747,743,893,728,635,674,737,678,644,770
847,875,883,883,869,849,872,883,859,875,873,887,1010,876,948,924,1044,779,914,910
1013,847,858,858,926,870,872,858,898,847,849,845,1004,849,906,878,882,934,869,911
1138,1013,1006,1006,988,1018,1006,1006,1003,1013,989,1003,1111,1015,908,1072,1021,960,1075,1015
1245,1138,1117,1118,1164,1174,1142,1117,1169,1138,1095,1101,1210,1139,1082,1111,1110,1028,1079,1118
1169,1245,1214,1214,1314,1304,1258,1214,1309,1245,1185,1190,1274,1247,1084,1111,1110,1123,1092,1216
1318,1169,1145,1145,1198,1248,1181,1145,1223,1169,1121,1109,1195,1172,1084,1111,1110,1123,1092,1166
1280,1318,1279,1279,1247,1336,1292,1279,1292,1318,1248,1258,1251,1320,1084,1111,1110,1123,1092,1237
1355,1280,1245,1245,1318,1319,1281,1245,1318,1280,1217,1206,1199,1283,1084,1111,1110,1123,1092,1230
1495,1355,1313,1313,1356,1367,1341,1313,1362,1355,1281,1283,1217,1357,1084,1111,1110,1123,1092,1265
1328,1495,1440,1440,1494,1504,1475,1440,1499,1495,1403,1408,1302,1497,1084,1111,1110,1123,1092,1335
1206,1328,1289,1288,1398,1389,1338,1289,1394,1328,1260,1237,1189,1331,1084,1111,1110,1123,1092,1257
1216,1206,1179,1179,1171,1218,1191,1179,1194,1206,1156,1142,1062,1208,1084,1111,1110,1028,1092,1158
1170,1216,1188,1188,1187,1172,1190,1188,1180,1216,1165,1163,1044,1217,1084,1111,1110,1123,1079,1136
1186,1170,1147,1147,1171,1134,1154,1147,1152,1170,1126,1118,1018,1171,1084,1111,1110,1123,1115,1121
1087,1186,1162,1162,1209,1153,1174,1162,1181,1186,1140,1138,1057,1187,1084,1111,1110,1123,1079,1121
899,1087,1073,1073,1068,1081,1076,1073,1074,1087,1055,1043,1009,1089,1155,971,1108,1000,1095,1051
876,899,904,904,853,890,890,904,872,899,895,879,885,900,770,1020,967,934,869,880
778,876,884,884,830,817,858,884,824,876,876,876,854,878,795,924,937,798,758,843
792,778,796,796,769,730,774,796,750,778,793,784,818,779,707,763,764,730,644,779
831,792,809,810,775,737,785,809,756,792,805,808,843,793,722,908,764,655,749,784
785,831,844,845,830,797,829,844,814,831,838,842,920,833,816,878,905,879,708,821
781,785,804,804,785,786,793,804,786,785,799,795,919,787,707,908,764,660,708,805
728,781,800,800,757,779,783,800,768,781,796,797,925,782,707,763,764,730,708,796
883,728,753,753,715,728,735,753,722,728,751,747,892,730,635,774,737,678,644,768
849,883,891,893,874,857,880,891,866,883,882,898,1002,884,795,924,898,779,914,913
1021,849,861,861,932,873,875,861,902,849,854,849,991,850,906,878,882,934,869,912
1146,1021,1014,1015,971,1026,1009,1014,998,1021,999,1015,1109,1023,948,1072,1021,960,1075,1018
1252,1146,1126,1127,1175,1184,1152,1126,1180,1146,1105,1112,1210,1147,1084,1111,1110,1123,1092,1120
1174,1252,1221,1222,1320,1312,1265,1221,1316,1252,1196,1201,1292,1253,1084,1111,1110,1123,1092,1225
1336,1174,1151,1150,1189,1252,1183,1151,1220,1174,1129,1117,1212,1175,1084,1111,1110,1123,1092,1173
1288,1336,1296,1297,1312,1352,1319,1296,1332,1336,1268,1279,1282,1337,1084,1111,1110,1123,1092,1250
1362,1288,1254,1253,1329,1330,1291,1254,1330,1288,1228,1216,1241,1289,1084,1111,1110,1123,1092,1241
1504,1362,1320,1320,1358,1375,1347,1320,1366,1362,1292,1294,1252,1363,1084,1111,1110,1123,1092,1269
1331,1504,1450,1450,1502,1514,1484,1450,1508,1504,1415,1421,1344,1505,1084,1111,1110,1123,1092,1340
1213,1331,1293,1292,1403,1391,1342,1293,1397,1331,1266,1244,1209,1332,1084,1111,1110,1123,1092,1262
