,naive,ar,arma,arima,ets,Average,CrossValidation,GA,NaiveBaggingRegression,ArBaggingRegression,ArmaBaggingRegression,ArimaBaggingRegression,EtsBaggingRegression,NaiveGBM,ArGBM,ArmaGBM,ArimaGBM,EtsGBM,esn
MAE,89.7375,88.31666666666666,88.6125,85.6625,82.075,86.09583333333333,88.31666666666666,82.6625,89.95416666666667,87.99166666666666,88.58333333333333,82.21666666666667,89.80833333333334,156.50833333333333,144.72916666666666,145.6,131.3375,151.94166666666666,80.02083333333333
MAPE,8.304959586739404,8.239455656668737,8.26607886342225,7.708641623940439,7.538633276706553,7.931862805099658,8.239455656668737,7.495439786157889,8.332808772686276,8.14893510103906,8.202832710574073,7.904234713076957,8.31851054110451,13.550502141246827,13.032576582131874,12.99228845918083,11.418815883114773,13.217364481407312,7.340508409349919
RMSE,106.56842481085411,104.16189322396171,104.33477767903344,106.48597325469679,102.6203764691334,101.98559947365118,104.16189322396171,103.34164617100568,106.81820615731509,106.56977370092642,107.44921280927717,97.444727923064164,106.63856400633559,188.79163999852676,171.55537249918271,174.71185802152451,163.08616076581524,183.58880684834793,99.945631053421579
NRMSE,0.46716718398472884,0.4566175996532138,0.45737547839801035,0.46680573863753955,0.44986000665419379,0.44707731579652132,0.4566175996532138,0.45302185816992396,0.46826215792701237,0.46717309715439143,0.47102832061728361,0.42717136167465802,0.46747465526900644,0.82761154605137277,0.75205240586169875,0.76588958563965104,0.71492566965376392,0.80480373111157755,0.43813464535743107
under - 1st scenario,1070.0,1178.0,1181.0,1020.0,985.0,1080.0,1178.0,980.0,1070.0,1303.0,1332.0,972.0,1063.0,3361.0,2501.0,2639.0,2801.0,3307.0,1336.0
over - 1st scenario,1068.0,937.0,939.0,1033.0,976.0,980.0,937.0,997.0,1073.0,797.0,783.0,993.0,1079.0,413.0,954.0,824.0,360.0,339.0,570.0
total - 1st scenario,2138.0,2115.0,2120.0,2053.0,1961.0,2060.0,2115.0,1977.0,2143.0,2100.0,2115.0,1965.0,2142.0,3774.0,3455.0,3463.0,3161.0,3646.0,1906.0
under - 2nd scenario,537.0,584.0,590.0,507.0,488.0,532.0,584.0,487.0,537.0,645.0,663.0,482.0,529.0,1636.0,1273.0,1339.0,1368.0,1668.0,670.0
over - 2nd scenario,536.0,476.0,476.0,522.0,487.0,492.0,476.0,493.0,539.0,400.0,399.0,503.0,542.0,213.0,475.0,416.0,187.0,166.0,290.0
total - 2nd scenario,1073.0,1060.0,1066.0,1029.0,975.0,1024.0,1060.0,980.0,1076.0,1045.0,1062.0,985.0,1071.0,1849.0,1748.0,1755.0,1555.0,1834.0,960.0
