real,naive,ar,arma,arima,ets,Average,CrossValidation,GA,NaiveBaggingRegression,ArBaggingRegression,ArmaBaggingRegression,ArimaBaggingRegression,EtsBaggingRegression,NaiveGBM,ArGBM,ArmaGBM,ArimaGBM,EtsGBM,esn
801,809,885,896,844,824,852,809,809,854,947,918,883,907,820,1147,1126,736,731,799
690,801,879,871,810,804,833,801,801,801,872,871,823,828,820,1147,975,911,731,781
718,690,784,785,716,704,736,690,690,690,783,785,722,750,479,782,732,774,760,691
557,718,808,792,717,716,750,718,718,718,806,799,734,758,728,782,732,774,760,701
531,557,670,674,591,574,613,557,557,557,677,680,615,631,498,605,525,551,459,580
559,531,647,636,544,536,579,531,531,531,656,651,586,596,494,508,557,480,393,546
501,559,672,651,556,556,599,559,559,559,678,669,606,600,498,605,688,488,492,575
524,501,622,611,503,509,549,501,501,501,631,627,576,554,502,576,494,476,433,538
559,524,642,623,525,522,567,524,524,524,649,641,585,558,517,549,616,460,499,556
582,559,672,646,534,555,593,559,559,559,677,668,614,578,498,605,557,488,492,589
575,582,691,668,562,579,616,582,582,582,695,687,637,593,674,641,663,482,551,611
633,575,685,666,582,575,617,575,575,575,689,683,629,591,695,626,663,582,551,611
767,633,730,707,624,627,664,633,633,633,736,726,665,624,610,773,626,556,551,659
679,767,847,815,732,771,786,767,767,767,843,829,771,720,626,880,931,612,731,783
816,679,771,766,686,687,718,679,679,679,772,771,707,671,552,888,627,511,564,712
633,816,888,860,813,802,836,816,816,816,882,869,801,770,820,1147,907,911,731,812
900,633,730,738,653,651,681,633,633,633,735,740,667,661,610,773,717,632,486,675
812,900,961,918,867,873,904,900,900,900,949,930,850,831,944,1132,1039,940,873,870
877,812,884,880,794,819,838,812,812,812,879,878,808,798,820,1147,975,911,731,821
876,877,939,922,865,871,895,877,877,877,930,923,848,843,860,1256,1039,940,873,859
952,876,938,927,874,875,898,876,876,876,930,925,852,855,860,1256,1039,940,873,866
1266,952,1002,984,932,944,963,952,952,952,990,983,913,909,927,1067,1174,1212,861,917
1333,1266,1269,1219,1190,1230,1235,1266,1266,1266,1241,1221,1160,1140,1178,1308,1172,1170,1145,1174
1217,1333,1321,1304,1310,1320,1318,1333,1333,1333,1295,1289,1254,1227,1066,1379,1086,1007,1113,1251
854,1217,1222,1235,1259,1229,1232,1217,1217,1217,1202,1209,1163,1189,1305,1112,1250,1212,1145,1168
1020,854,911,960,941,899,913,854,867,854,912,932,874,946,820,1021,976,1139,861,866
676,1020,1053,1032,976,1005,1017,1020,1020,1020,1045,1036,954,1029,980,1013,1299,1223,1144,952
537,676,759,793,637,716,716,676,676,676,770,785,719,797,552,697,732,707,760,689
526,537,638,650,585,559,594,537,537,537,659,663,575,665,485,512,688,518,492,553
557,526,629,618,511,530,563,526,526,526,649,645,573,628,494,576,588,493,523,533
600,557,657,635,518,568,587,557,557,557,674,666,610,624,498,535,557,469,459,568
487,600,694,669,569,593,625,600,600,600,709,699,662,634,542,641,663,482,473,608
470,487,597,593,550,502,546,487,487,487,618,617,586,553,490,449,472,499,492,537
1232,470,581,567,451,474,509,470,470,470,604,598,561,533,493,505,463,420,472,509
553,1232,1233,1123,1067,1127,1156,1232,1232,1232,1214,1166,1144,1000,1172,1312,1155,1166,1157,1100
677,553,649,716,712,621,650,553,553,553,671,702,712,636,498,535,649,774,573,655
814,677,756,737,689,688,709,677,677,677,771,762,709,689,552,697,717,511,564,687
614,814,874,842,720,816,813,814,814,814,880,867,812,785,820,1147,931,774,731,807
1086,614,701,714,652,635,663,614,614,614,720,726,673,659,520,690,649,632,551,645
995,1086,1108,1039,1046,1035,1063,1086,1086,1086,1098,1068,983,969,1081,1179,1117,1198,1098,1013
896,995,1029,1028,949,1000,1000,995,998,995,1025,1025,976,947,1174,1153,1299,1223,1064,974
1131,896,944,953,927,908,926,896,901,896,946,950,882,890,860,1066,976,1212,861,884
882,1131,1145,1113,1117,1105,1122,1131,1127,1131,1134,1119,1038,1045,1198,1151,1236,1349,833,1064
1090,882,929,955,890,908,913,882,889,882,936,946,879,909,860,1072,976,940,861,877
1062,1090,1107,1081,1069,1069,1083,1090,1087,1090,1102,1089,1003,1045,1030,1179,1186,1166,1102,1018
898,1062,1083,1081,1046,1063,1067,1062,1064,1062,1080,1079,1009,1039,1081,1318,1186,1198,1102,1017
1195,898,941,961,939,917,931,898,906,898,949,957,895,940,944,1256,976,1139,861,878
855,1195,1187,1144,1104,1158,1158,1195,1186,1195,1186,1168,1096,1130,1090,1261,1234,1164,1148,1091
618,855,898,938,949,896,907,855,868,855,915,931,877,926,680,1221,1082,1139,861,867
841,618,695,729,704,655,680,618,634,618,726,737,657,738,520,747,717,774,486,640
839,841,886,849,746,816,828,841,831,841,905,888,805,861,820,1147,864,612,731,780
698,839,885,870,827,836,851,839,841,839,903,897,849,856,820,1147,975,827,818,811
499,698,765,773,787,717,748,698,724,698,790,793,747,760,728,888,627,779,760,712
823,499,594,613,529,528,553,499,513,499,631,637,575,609,443,498,494,445,482,534
623,823,871,813,699,783,798,823,801,823,891,867,821,799,820,1147,931,511,731,764
685,623,700,709,707,645,677,623,649,623,730,735,712,681,520,690,626,774,486,660
830,685,754,734,703,680,711,685,691,685,780,772,727,707,552,697,717,774,564,687
662,830,878,841,732,810,818,830,806,830,896,882,843,794,820,1147,931,612,731,806
695,662,733,743,713,682,707,662,680,662,762,765,723,699,572,773,674,774,564,696
770,695,761,747,745,693,728,695,709,695,788,782,712,711,479,697,674,612,564,707
633,770,827,802,700,760,772,770,753,770,848,839,782,758,626,798,827,511,869,761
678,633,709,715,647,650,671,633,642,633,739,741,671,673,610,690,649,632,486,665
765,678,749,730,730,674,712,678,695,678,775,767,684,696,552,697,717,612,564,693
