,naive,ar,arma,arima,ets,Average,CrossValidation,GA,NaiveBaggingRegression,ArBaggingRegression,ArmaBaggingRegression,ArimaBaggingRegression,EtsBaggingRegression,NaiveGBM,ArGBM,ArmaGBM,ArimaGBM,EtsGBM,esn
MAE,126.44166666666666,129.81666666666666,122.325,114.74583333333334,116.2,118.025,126.44166666666666,118.725,126.62916666666666,139.45416666666668,135.28333333333333,119.3375,114.8125,139.39166666666668,163.60833333333332,149.21666666666667,139.09583333333333,143.53333333333333,113.64166666666667
MAPE,19.478993312526413,21.169195088891,19.797351292053335,17.73747059599411,17.86147681860608,18.558023479530586,19.478993312526413,18.304859445795405,19.502401552226782,23.488707509856013,22.766578080718503,18.539664882968115,17.819774254529573,20.838134729580567,24.788483513876365,22.39585517365721,20.30832885656581,21.236125388159873,17.820320931288173
RMSE,166.16838848990903,165.92676597422931,156.25502658581365,152.22851517811415,154.72510569824578,154.97066926787576,166.16838848990903,157.87901486053596,166.20280031736328,177.68735417393478,172.29083937729635,153.54658630743526,148.74896358182355,180.95593386236331,221.57560786332056,193.25162784997872,184.82431973814124,188.58048679542642,149.54717761741054
NRMSE,0.90091897110242469,0.89960896075569396,0.84717146901753837,0.82534083957277427,0.83887666177759534,0.84020803942710975,0.90091897110242469,0.85597628357246847,0.90110554249825736,0.96337161210427691,0.93411320379744212,0.8324870561092601,0.80647567470889103,0.98109294572631023,1.2013215658629293,1.047756792424116,1.0020662623402861,1.0224311596067941,0.81080337009184422
under - 1st scenario,1490.0,943.0,961.0,1343.0,1312.0,1155.0,1490.0,1335.0,1490.0,599.0,619.0,1340.0,1266.0,1919.0,1366.0,1637.0,1862.0,2124.0,1172.0
over - 1st scenario,1545.0,2180.0,1988.0,1413.0,1481.0,1674.0,1545.0,1509.0,1549.0,2748.0,2635.0,1523.0,1484.0,1422.0,2568.0,1951.0,1473.0,1326.0,1559.0
total - 1st scenario,3035.0,3123.0,2949.0,2756.0,2793.0,2829.0,3035.0,2844.0,3039.0,3347.0,3254.0,2863.0,2750.0,3341.0,3934.0,3588.0,3335.0,3450.0,2731.0
under - 2nd scenario,748.0,475.0,479.0,666.0,652.0,585.0,748.0,671.0,748.0,302.0,311.0,672.0,635.0,965.0,683.0,820.0,934.0,1065.0,588.0
over - 2nd scenario,775.0,1097.0,997.0,710.0,740.0,839.0,775.0,757.0,777.0,1380.0,1325.0,768.0,745.0,720.0,1288.0,980.0,740.0,667.0,785.0
total - 2nd scenario,1523.0,1572.0,1476.0,1376.0,1392.0,1424.0,1523.0,1428.0,1525.0,1682.0,1636.0,1440.0,1380.0,1685.0,1971.0,1800.0,1674.0,1732.0,1373.0
