naive,ar,arma,arima,ets,Average,CrossValidation,GA,NaiveBaggingRegression,ArBaggingRegression,ArmaBaggingRegression,ArimaBaggingRegression,EtsBaggingRegression,NaiveGBM,ArGBM,ArmaGBM,ArimaGBM,EtsGBM,esn
0.998751560549,10.4868913858,11.8601747815,5.36828963795,2.87141073658,6.3670411985,0.998751560549,0.998751560549,6.61672908864,18.22721598,14.606741573,10.2372034956,13.2334581773,2.3720349563,43.1960049938,40.5742821473,-8.11485642946,-8.73907615481,-0.249687890137
16.0869565217,27.3913043478,26.231884058,17.3913043478,16.5217391304,20.7246376812,16.0869565217,16.0869565217,16.0869565217,26.3768115942,26.231884058,19.2753623188,20.0,18.8405797101,66.231884058,41.3043478261,32.0289855072,5.94202898551,13.1884057971
-3.89972144847,9.1922005571,9.33147632312,-0.278551532033,-1.94986072423,2.5069637883,-3.89972144847,-3.89972144847,-3.89972144847,9.05292479109,9.33147632312,0.557103064067,4.45682451253,-33.286908078,8.91364902507,1.94986072423,7.79944289694,5.8495821727,-3.76044568245
28.9048473968,45.0628366248,42.1903052065,28.7253141831,28.5457809695,34.6499102334,28.9048473968,28.9048473968,28.9048473968,44.7037701975,43.447037702,31.7773788151,36.0861759425,30.7001795332,40.39497307,31.4183123878,38.9587073609,36.4452423698,25.8527827648
4.89642184557,26.1770244821,26.9303201507,11.2994350282,8.09792843691,15.4425612053,4.89642184557,4.89642184557,4.89642184557,27.4952919021,28.0602636535,15.8192090395,18.8323917137,-6.21468926554,13.9359698682,-1.12994350282,3.76647834275,-13.5593220339,9.22787193974
-5.00894454383,15.7423971377,13.7745974955,-2.68336314848,-4.114490161,3.57781753131,-5.00894454383,-5.00894454383,-5.00894454383,17.3524150268,16.457960644,4.83005366726,6.61896243292,-11.6279069767,-9.12343470483,-0.357781753131,-14.1323792487,-29.6958855098,-2.32558139535
11.5768463074,34.1317365269,29.9401197605,10.9780439122,10.9780439122,19.5608782435,11.5768463074,11.5768463074,11.5768463074,35.3293413174,33.5329341317,20.9580838323,19.7604790419,-0.59880239521,20.7584830339,37.3253493014,-2.59481037924,-1.79640718563,14.7704590818
-4.3893129771,18.7022900763,16.6030534351,-4.00763358779,-2.86259541985,4.77099236641,-4.3893129771,-4.3893129771,-4.3893129771,20.4198473282,19.6564885496,9.92366412214,5.72519083969,-4.19847328244,9.92366412214,-5.72519083969,-9.16030534351,-17.3664122137,2.67175572519
-6.26118067979,14.8479427549,11.4490161002,-6.08228980322,-6.61896243292,1.43112701252,-6.26118067979,-6.26118067979,-6.26118067979,16.1001788909,14.6690518784,4.6511627907,-0.178890876565,-7.51341681574,-1.78890876565,10.1967799642,-17.71019678,-10.7334525939,-0.536672629696
-3.95189003436,15.4639175258,10.9965635739,-8.24742268041,-4.63917525773,1.89003436426,-3.95189003436,-3.95189003436,-3.95189003436,16.323024055,14.7766323024,5.49828178694,-0.687285223368,-14.4329896907,3.95189003436,-4.29553264605,-16.1512027491,-15.4639175258,1.20274914089
1.21739130435,20.1739130435,16.1739130435,-2.26086956522,0.695652173913,7.13043478261,1.21739130435,1.21739130435,1.21739130435,20.8695652174,19.4782608696,10.7826086957,3.13043478261,17.2173913043,11.4782608696,15.3043478261,-16.1739130435,-4.17391304348,6.26086956522
-9.16271721959,8.21484992101,5.21327014218,-8.05687203791,-9.16271721959,-2.52764612954,-9.16271721959,-9.16271721959,-9.16271721959,8.8467614534,7.89889415482,-0.631911532385,-6.63507109005,9.79462875197,-1.10584518167,4.73933649289,-8.05687203791,-12.9541864139,-3.47551342812
-17.4706649283,-4.82398956975,-7.82268578879,-18.6440677966,-18.2529335072,-13.4289439374,-17.4706649283,-17.4706649283,-17.4706649283,-4.04172099087,-5.34550195567,-13.2985658409,-18.6440677966,-20.4693611473,0.782268578879,-18.3833116037,-27.5097783572,-28.1616688396,-14.0808344198
12.9602356406,24.7422680412,20.029455081,7.80559646539,13.5493372607,15.7584683358,12.9602356406,12.9602356406,12.9602356406,24.1531664212,22.0913107511,13.5493372607,6.0382916053,-7.80559646539,29.6023564065,37.1134020619,-9.86745213549,7.65832106038,15.3166421208
-16.7892156863,-5.51470588235,-6.12745098039,-15.931372549,-15.8088235294,-12.0098039216,-16.7892156863,-16.7892156863,-16.7892156863,-5.39215686275,-5.51470588235,-13.3578431373,-17.7696078431,-32.3529411765,8.82352941176,-23.1617647059,-37.3774509804,-30.8823529412,-12.7450980392
