,Average,CrossValidation,GA,NaiveBaggingRegression,ArBaggingRegression,ArmaBaggingRegression,ArimaBaggingRegression,EtsBaggingRegression,esn,NaiveGBM,ArGBM,ArmaGBM,ArimaGBM,EtsGBM,AverageGBM
MAE,140.3625,140.0,145.09583333333333,145.14166666666668,133.47916666666666,129.97083333333333,130.97083333333333,129.4875,79.20833333333333,97.2125,88.84583333333333,88.85416666666667,96.60833333333333,94.23333333333333,90.225
MAPE,43.00671851961397,43.316014657326534,41.61278627281256,41.62969894193927,40.38550075425198,38.988406948423936,39.28975570044487,38.49983562013134,16.059197517142486,24.08071399241384,20.78278436024688,20.81709108386603,24.15574770829877,22.71298519796494,21.425118986674626
RMSE,240.72343224815762,231.94460545569927,331.28816132384407,331.28892224159864,231.74282621043525,230.76913969015297,231.58086240735292,232.51970346617941,237.11739356979558,232.34235695054255,232.8434291535838,232.90623113175826,231.80244821830507,233.72118360702066,232.2525026775815
NRMSE,1.0446243121804832,1.006528411776531,1.4376318267998867,1.4376351288182179,1.0056527865690981,1.0014274537793897,1.0049499412963596,1.0090240614855084,1.0289758327661616,1.008254462613539,1.0104288758003497,1.0107014062833251,1.0059115175051776,1.0142379094021954,1.0078645381379208
under - 1st scenario,1321.0,1300.0,1740.0,1740.0,1320.0,1323.0,1328.0,1335.0,1617.0,1500.0,1472.0,1472.0,1454.0,1576.0,1449.0
over - 1st scenario,2047.0,2027.0,1740.0,1741.0,1875.0,1767.0,1792.0,1761.0,307.0,859.0,568.0,569.0,768.0,683.0,689.0
total - 1st scenario,3368.0,3327.0,3480.0,3481.0,3195.0,3090.0,3120.0,3096.0,1924.0,2359.0,2040.0,2041.0,2222.0,2259.0,2138.0
under - 2nd scenario,1321.0,1300.0,1740.0,1740.0,1320.0,1323.0,1328.0,1335.0,1617.0,1500.0,1472.0,1472.0,1454.0,1576.0,1449.0
over - 2nd scenario,2047.0,2027.0,1740.0,1741.0,1875.0,1767.0,1792.0,1761.0,307.0,859.0,568.0,569.0,768.0,683.0,689.0
total - 2nd scenario,3368.0,3327.0,3480.0,3481.0,3195.0,3090.0,3120.0,3096.0,1924.0,2359.0,2040.0,2041.0,2222.0,2259.0,2138.0
